/afe_in X,/afe_in Y,/label X,/label Y,/afe_out X,/afe_out Y,/spk_up X,/spk_up Y,/elec_in X,/elec_in Y,/spk_down X,/spk_down Y
51.80371094,0.002264591,51.80371094,0,51.76171875,0.863477675,51.76171875,-2.98E-05,51.76171875,0.002262653,51.76171875,-3.12E-05
51.80761719,0.002264254,51.80761719,0,51.765625,0.862795074,51.765625,3.08E-07,51.765625,0.002263608,51.765625,3.99E-07
51.81152344,0.002263983,51.81152344,0,51.76953125,0.862360656,51.76953125,-1.40E-06,51.76953125,0.002264404,51.76953125,-1.42E-06
51.81542969,0.002263894,51.81542969,0,51.7734375,0.862173913,51.7734375,-1.10E-05,51.7734375,0.002265015,51.7734375,-1.17E-05
51.81933594,0.002264053,51.81933594,0,51.77734375,0.862266946,51.77734375,-2.67E-06,51.77734375,0.002265426,51.77734375,-2.83E-06
51.82324219,0.002264443,51.82324219,0,51.78125,0.862614466,51.78125,-5.93E-06,51.78125,0.002265669,51.78125,-6.34E-06
51.82714844,0.002265069,51.82714844,0,51.78515625,0.86316453,51.78515625,-2.40E-06,51.78515625,0.002265766,51.78515625,-2.52E-06
51.83105469,0.002265995,51.83105469,0,51.7890625,0.863913284,51.7890625,4.43E-06,51.7890625,0.00226571,51.7890625,4.70E-06
51.8359375,0.002267244,51.8359375,0,51.79296875,0.864832469,51.79296875,1.46E-06,51.79296875,0.002265531,51.79296875,1.56E-06
51.83984375,0.002268739,51.83984375,0,51.796875,0.865940574,51.796875,-5.09E-06,51.796875,0.002265207,51.796875,-5.47E-06
51.84375,0.002270396,51.84375,0,51.80078125,0.86712295,51.80078125,3.05E-06,51.80078125,0.002264852,51.80078125,3.25E-06
51.84765625,0.002272187,51.84765625,0,51.8046875,0.868290184,51.8046875,-1.32E-05,51.8046875,0.002264507,51.8046875,-1.39E-05
51.8515625,0.002274077,51.8515625,0,51.80859375,0.869415669,51.80859375,-2.82E-06,51.80859375,0.002264187,51.80859375,-3.00E-06
51.85546875,0.002275947,51.85546875,0,51.8125,0.870435591,51.8125,2.55E-05,51.8125,0.002263961,51.8125,2.74E-05
51.859375,0.002277673,51.859375,0,51.81640625,0.871217551,51.81640625,4.95E-06,51.81640625,0.002263934,51.81640625,5.24E-06
51.86328125,0.002279216,51.86328125,0,51.8203125,0.871668092,51.8203125,-1.25E-06,51.8203125,0.002264151,51.8203125,-1.33E-06
51.8671875,0.002280566,51.8671875,0,51.82421875,0.871784853,51.82421875,-3.94E-06,51.82421875,0.0022646,51.82421875,-4.14E-06
51.87109375,0.002281657,51.87109375,0,51.828125,0.871568025,51.828125,-4.83E-06,51.828125,0.0022653,51.828125,-5.07E-06
51.87597656,0.002282399,51.87597656,0,51.83203125,0.870978975,51.83203125,1.53E-05,51.83203125,0.002266245,51.83203125,1.62E-05
51.87988281,0.002282779,51.87988281,0,51.8359375,0.870229036,51.8359375,2.01E-06,51.8359375,0.002267245,51.8359375,2.12E-06
51.88378906,0.002282834,51.88378906,0,51.83984375,0.869063271,51.83984375,1.12E-05,51.83984375,0.00226874,51.83984375,1.19E-05
51.88769531,0.002282554,51.88769531,0,51.84375,0.867535722,51.84375,-1.11E-05,51.84375,0.002270396,51.84375,-1.17E-05
